internship_title,company_name,location,start_date,duration,stipend
Social Impact Leading,HappiMynd,Work From Home,Immediately,6 Months,"2,000"
Social Sector Operations,NayePankh Foundation,Work From Home,Immediately,6 Months,
Product Marketing,Wayspire Ed-Tech Private Limited,Work From Home,Immediately,6 Months,"1,000"
Sales And Marketing,"Manjita Osta (Melbourne Airport, Australia)",Work From Home,Immediately,6 Months,"10,000"
Subject Matter Expert (Physics) Live Doubts,Solvitude,Work From Home,Immediately,6 Months,"12,000"
Digital Marketing (Email Marketing),Lawtech,Work From Home,Immediately,6 Months,"7,000"
Sales (Tele-marketing),Lawtech,Work From Home,Immediately,6 Months,"10,000"
UI/UX Design,"EmendoAI (San Francisco, United States)",Work From Home,Immediately,6 Months,"10,000"
Product Management,"EmendoAI (San Francisco, United States)",Work From Home,Immediately,6 Months,"12,000"
Android App Development,"Powerhouse AI (Singapore, Singapore)",Work From Home,Not specified,6 Months,"20,000"
Ruby On Rails Development,Makerble,Work From Home,Immediately,6 Months,"15,000"
Physics Content Writing,HaZZten,Work From Home,Immediately,6 Months,"15,000"
Subject Matter Expert (Chemistry) Live Doubt,Solvitude,Work From Home,Immediately,6 Months,"4,000"
Content Writing (Chemistry),HaZZten,Work From Home,Immediately,6 Months,"15,000"
AWS DevOps Engineering,"EmendoAI (San Francisco, United States)",Work From Home,Immediately,6 Months,"10,000"
Human Resources (HR),Aelum Consulting,Jaipur,Immediately,6 Months,"10,000"
Market Research (Fashion),Artyvis Technologies Private Limited,Work From Home,Immediately,6 Months,"10,000"
Product Management,NightOwl,Work From Home,Immediately,6 Months,"15,000"
Angular.js Development,Heliverse,Work From Home,Immediately,6 Months,"18,000"
Business Development (Sales),WEB5G TECHNOLOGY PRIVATE LIMITED,Ghaziabad,Immediately,6 Months,"30,000"
Social Media Marketing,Shubham Varshney,Hapur,Immediately,6 Months,"2,000"
Marketing,Skylark Overseas Education,Visakhapatnam,Immediately,6 Months,"8,000"
Sales And Marketing,The Audio World,Jaipur,Immediately,6 Months,"5,000"
Video Making/Editing,Shubham Varshney,Hapur,Immediately,6 Months,"5,000"
Electrical Engineering,Toshniwal Industries Private Limited,Ajmer,Immediately,6 Months,"4,000"
Electrical Engineering,Toshniwal Industries Private Limited,Ajmer,Immediately,6 Months,"4,000"
Content Writing,Shubham Varshney,Meerut,Immediately,6 Months,"2,000"
Copywriting,Packin Club,Delhi,Immediately,3 Months,"10,000"
Business Development (Sales),GoMechanic,Gurgaon,Immediately,6 Months,"12,000"
